"1","Brasforma Industria e Comercio Ltda","278570/01",NULL,"2025-10-08",NULL,NULL,"9405.58","Pago","Ref. a NF nº 278570","Importação PDF"
"2","Brasforma Industria e Comercio Ltda","279435/01",NULL,"2025-10-25",NULL,NULL,"6375.60","Pago","Ref. a NF nº 279435","Importação PDF"
"3","Brasforma Industria e Comercio Ltda","279582/01",NULL,"2025-10-29",NULL,NULL,"4504.25","Pago","Ref. a NF nº 279582","Importação PDF"
"4","Brasforma Industria e Comercio Ltda","279763/01",NULL,"2025-10-31",NULL,NULL,"4281.06","Pago","Ref. a NF nº 279763","Importação PDF"
"5","Brasforma Industria e Comercio Ltda","279894/01",NULL,"2025-11-02",NULL,NULL,"1343.08","Pago","Ref. a NF nº 279894","Importação PDF"
"6","Brasforma Industria e Comercio Ltda","279898/01",NULL,"2025-11-02",NULL,NULL,"4443.60","Pago","Ref. a NF nº 279898","Importação PDF"
"7","Brasforma Industria e Comercio Ltda","278570/02",NULL,"2025-11-07",NULL,NULL,"8570.00","Pago","Ref. a NF nº 278570","Importação PDF"
"8","Brasforma Industria e Comercio Ltda","280400/01",NULL,"2025-11-14",NULL,NULL,"953.23","Pago","Ref. a NF nº 280400 - boletos recalculados (antes 4 parcelas, agora 2 parcelas)","Importação PDF"
"9","Brasforma Industria e Comercio Ltda","279435/02",NULL,"2025-11-24",NULL,NULL,"5796.00","Pago","Ref. a NF nº 279435","Importação PDF"
"10","Brasforma Industria e Comercio Ltda","279582/02",NULL,"2025-11-28",NULL,NULL,"3753.54","Pago","Ref. a NF nº 279582","Importação PDF"
"11","Brasforma Industria e Comercio Ltda","281061/01",NULL,"2025-11-28",NULL,NULL,"3564.00","Pago","Ref. a NF nº 281061","Importação PDF"
"12","Brasforma Industria e Comercio Ltda","281058/01",NULL,"2025-11-28",NULL,NULL,"3628.80","Pago","Ref. a NF nº 281058","Importação PDF"
"13","Brasforma Industria e Comercio Ltda","279898/02",NULL,"2025-12-02",NULL,NULL,"3864.00","Pago","Ref. a NF nº 279898","Importação PDF"
"41","Colecao Industria e Comercio LTDA.","190825/01",NULL,"2025-10-26",NULL,NULL,"721.92","Pago","Ref. a NF nº 190825","Importação PDF"
"42","Colecao Industria e Comercio LTDA.","190825/02",NULL,"2025-11-25",NULL,NULL,"721.92","Pago","Ref. a NF nº 190825","Importação PDF"
"43","Colecao Industria e Comercio LTDA.","190825/03",NULL,"2025-12-25",NULL,NULL,"721.92","Pago","Ref. a NF nº 190825","Importação PDF"
"44","Colecao Industria e Comercio LTDA.","190825/04",NULL,"2026-01-24",NULL,NULL,"721.93","Pago","Ref. a NF nº 190825","Importação PDF"
"45","ELGIN DISTRIBUIDORA LTDA","343319/01",NULL,"2025-11-18",NULL,NULL,"4658.98","Pago","Ref. a NF nº 343319","Importação PDF"
"46","ELGIN DISTRIBUIDORA LTDA","343319/02",NULL,"2025-12-18",NULL,NULL,"4658.98","Pago","Ref. a NF nº 343319","Importação PDF"
"47","ELGIN DISTRIBUIDORA LTDA","350383/01",NULL,"2025-12-21",NULL,NULL,"3008.78","Em aberto","Ref. a NF nº 350383","Importação PDF"
"48","ELGIN DISTRIBUIDORA LTDA","350296/01",NULL,"2025-12-21",NULL,NULL,"3008.78","Em aberto","Ref. a NF nº 350296","Importação PDF"
"49","ELGIN DISTRIBUIDORA LTDA","343319/03",NULL,"2026-01-17",NULL,NULL,"4658.98","Pago","Ref. a NF nº 343319","Importação PDF"
"50","ELGIN DISTRIBUIDORA LTDA","350296/02",NULL,"2026-01-20",NULL,NULL,"3008.60","Em aberto","Ref. a NF nº 350296","Importação PDF"
"51","ELGIN DISTRIBUIDORA LTDA","350383/02",NULL,"2026-01-20",NULL,NULL,"3008.60","Em aberto","Ref. a NF nº 350383","Importação PDF"
"52","ELGIN DISTRIBUIDORA LTDA","343319/04",NULL,"2026-02-16",NULL,NULL,"4658.96","Pago","Ref. a NF nº 343319","Importação PDF"
"53","ELGIN DISTRIBUIDORA LTDA","350296/03",NULL,"2026-02-19",NULL,NULL,"3008.50","Em aberto","Ref. a NF nº 350296","Importação PDF"
"54","ELGIN DISTRIBUIDORA LTDA","350383/03",NULL,"2026-02-19",NULL,NULL,"3008.50","Em aberto","Ref. a NF nº 350383","Importação PDF"
"55","GAZIN ATACADO CENTRO-OESTE LTDA","1776074/01",NULL,"2025-11-18",NULL,NULL,"6104.09","Pago","Ref. a NF nº 1776074","Importação PDF"
"56","GAZIN ATACADO CENTRO-OESTE LTDA","1776074/02",NULL,"2025-12-18",NULL,NULL,"6104.07","Em aberto","Ref. a NF nº 1776074","Importação PDF"
"57","GAZIN ATACADO CENTRO-OESTE LTDA","1776074/03",NULL,"2026-01-17",NULL,NULL,"6104.07","Em aberto","Ref. a NF nº 1776074","Importação PDF"
"58","GAZIN ATACADO CENTRO-OESTE LTDA","1776074/04",NULL,"2026-02-16",NULL,NULL,"6104.07","Em aberto","Ref. a NF nº 1776074","Importação PDF"
"59","GRUPO MULTI S.A","2992593/01",NULL,"2025-09-28",NULL,NULL,"6442.28","Pago","Ref. a NF nº 2992593","Importação PDF"
"60","GRUPO MULTI S.A","2992593/02",NULL,"2025-10-28",NULL,NULL,"6442.28","Pago","Ref. a NF nº 2992593","Importação PDF"
"61","GRUPO MULTI S.A","3063157/01",NULL,"2025-10-29",NULL,NULL,"9094.47","Pago","Ref. a NF nº 3063157","Importação PDF"
"62","GRUPO MULTI S.A","2992593/03",NULL,"2025-11-27",NULL,NULL,"6444.20","Pago","Ref. a NF nº 2992593","Importação PDF"
"63","GRUPO MULTI S.A","3117159/01",NULL,"2025-11-30",NULL,NULL,"16408.98","Pago","Ref. a NF nº 3117159","Importação PDF"
"64","GRUPO MULTI S.A","3161160/01",NULL,"2025-12-21",NULL,NULL,"10027.71","Em aberto","Ref. a NF nº 3161160","Importação PDF"
"65","INTELBRAS S/A - IND DE TEL ELET BRA","179067/01",NULL,"2025-08-26",NULL,NULL,"20751.56","Pago","Ref. a NF nº 179067 - Pagamento à vista","Importação PDF"
"66","INTELBRAS S/A - IND DE TEL ELET BRA","189022/01",NULL,"2025-08-26",NULL,NULL,"705.53","Pago","Ref. a NF nº 189022","Importação PDF"
"67","INTELBRAS S/A - IND DE TEL ELET BRA","189021/01",NULL,"2025-08-26",NULL,NULL,"71435.24","Pago","Ref. a NF nº 189021","Importação PDF"
"68","INTELBRAS S/A - IND DE TEL ELET BRA","207147/01",NULL,"2025-09-15",NULL,NULL,"536.47","Pago","Ref. a NF nº 207147","Importação PDF"
"69","INTELBRAS S/A - IND DE TEL ELET BRA","207137/01",NULL,"2025-09-15",NULL,NULL,"79576.47","Pago","Ref. a NF nº 207137","Importação PDF"
"70","INTELBRAS S/A - IND DE TEL ELET BRA","207143/01",NULL,"2025-09-15",NULL,NULL,"715.30","Pago","Ref. a NF nº 207143","Importação PDF"
"71","INTELBRAS S/A - IND DE TEL ELET BRA","186035/01",NULL,"2025-09-19",NULL,NULL,"2385.45","Pago","Ref. a NF nº 186035","Importação PDF"
"72","INTELBRAS S/A - IND DE TEL ELET BRA","186032/01",NULL,"2025-09-19",NULL,NULL,"1829.87","Pago","Ref. a NF nº 186032","Importação PDF"
"73","INTELBRAS S/A - IND DE TEL ELET BRA","186031/01",NULL,"2025-09-19",NULL,NULL,"11289.20","Pago","Ref. a NF nº 186031","Importação PDF"
"74","INTELBRAS S/A - IND DE TEL ELET BRA","191684/01",NULL,"2025-09-25",NULL,NULL,"3651.35","Pago","Ref. a NF nº 191684","Importação PDF"
"75","INTELBRAS S/A - IND DE TEL ELET BRA","192417/01",NULL,"2025-09-26",NULL,NULL,"2190.81","Pago","Ref. a NF nº 192417","Importação PDF"
"76","INTELBRAS S/A - IND DE TEL ELET BRA","192423/01",NULL,"2025-09-26",NULL,NULL,"243.42","Pago","Ref. a NF nº 192423","Importação PDF"
"77","INTELBRAS S/A - IND DE TEL ELET BRA","197148/01",NULL,"2025-10-01",NULL,NULL,"12670.09","Pago","Ref. a NF nº 197148","Importação PDF"
"78","INTELBRAS S/A - IND DE TEL ELET BRA","197139/01",NULL,"2025-10-01",NULL,NULL,"22050.51","Pago","Ref. a NF nº 197139","Importação PDF"
"79","INTELBRAS S/A - IND DE TEL ELET BRA","226718/01",NULL,"2025-10-03",NULL,NULL,"19530.05","Pago","Ref. a NF nº 226718","Importação PDF"
"80","INTELBRAS S/A - IND DE TEL ELET BRA","202205/01",NULL,"2025-10-07",NULL,NULL,"9683.09","Pago","Ref. a NF nº 202205","Importação PDF"
"81","INTELBRAS S/A - IND DE TEL ELET BRA","202193/01",NULL,"2025-10-07",NULL,NULL,"5848.21","Pago","Ref. a NF nº 202193","Importação PDF"
"82","INTELBRAS S/A - IND DE TEL ELET BRA","202202/01",NULL,"2025-10-07",NULL,NULL,"1941.51","Pago","Ref. a NF nº 202202","Importação PDF"
"83","INTELBRAS S/A - IND DE TEL ELET BRA","202199/01",NULL,"2025-10-07",NULL,NULL,"3355.27","Pago","Ref. a NF nº 202199","Importação PDF"
"84","INTELBRAS S/A - IND DE TEL ELET BRA","202188/01",NULL,"2025-10-07",NULL,NULL,"2741.42","Pago","Ref. a NF nº 202188","Importação PDF"
"85","INTELBRAS S/A - IND DE TEL ELET BRA","231931/01",NULL,"2025-10-10",NULL,NULL,"730.27","Pago","Ref. a NF nº 231931 - à vista","Importação PDF"
"86","INTELBRAS S/A - IND DE TEL ELET BRA","233141/01",NULL,"2025-10-13",NULL,NULL,"22941.77","Pago","Ref. a NF nº 233141 - à vista","Importação PDF"
"87","INTELBRAS S/A - IND DE TEL ELET BRA","239393/01",NULL,"2025-10-16",NULL,NULL,"9483.09","Pago","Ref. a NF nº 239393 - à vista","Importação PDF"
"88","INTELBRAS S/A - IND DE TEL ELET BRA","186035/02",NULL,"2025-10-17",NULL,NULL,"2385.45","Pago","Ref. a NF nº 186035","Importação PDF"
"89","INTELBRAS S/A - IND DE TEL ELET BRA","186032/02",NULL,"2025-10-17",NULL,NULL,"1829.87","Pago","Ref. a NF nº 186032","Importação PDF"
"90","INTELBRAS S/A - IND DE TEL ELET BRA","186031/02",NULL,"2025-10-17",NULL,NULL,"11289.20","Pago","Ref. a NF nº 186031","Importação PDF"
"91","INTELBRAS S/A - IND DE TEL ELET BRA","191684/02",NULL,"2025-10-23",NULL,NULL,"3651.35","Pago","Ref. a NF nº 191684","Importação PDF"
"92","INTELBRAS S/A - IND DE TEL ELET BRA","246076/01",NULL,"2025-10-23",NULL,NULL,"20751.56","Pago","Ref. a NF nº 246076","Importação PDF"
"93","INTELBRAS S/A - IND DE TEL ELET BRA","246072/01",NULL,"2025-10-23",NULL,NULL,"9483.09","Pago","Ref. a NF nº 246072 - À vista","Importação PDF"
"94","INTELBRAS S/A - IND DE TEL ELET BRA","246068/01",NULL,"2025-10-23",NULL,NULL,"26823.53","Pago","Ref. a NF nº 246068 - à vista","Importação PDF"
"95","INTELBRAS S/A - IND DE TEL ELET BRA","192417/02",NULL,"2025-10-24",NULL,NULL,"2190.81","Pago","Ref. a NF nº 192417","Importação PDF"
"96","INTELBRAS S/A - IND DE TEL ELET BRA","192423/02",NULL,"2025-10-24",NULL,NULL,"243.42","Pago","Ref. a NF nº 192423","Importação PDF"
"97","INTELBRAS S/A - IND DE TEL ELET BRA","197148/02",NULL,"2025-10-29",NULL,NULL,"12670.09","Pago","Ref. a NF nº 197148","Importação PDF"
"98","INTELBRAS S/A - IND DE TEL ELET BRA","197139/02",NULL,"2025-10-29",NULL,NULL,"22050.51","Pago","Ref. a NF nº 197139","Importação PDF"
"99","INTELBRAS S/A - IND DE TEL ELET BRA","202188/02",NULL,"2025-11-04",NULL,NULL,"2741.42","Pago","Ref. a NF nº 202188","Importação PDF"
"100","INTELBRAS S/A - IND DE TEL ELET BRA","202205/02",NULL,"2025-11-04",NULL,NULL,"9683.09","Pago","Ref. a NF nº 202205","Importação PDF"
"101","INTELBRAS S/A - IND DE TEL ELET BRA","202193/02",NULL,"2025-11-04",NULL,NULL,"5848.21","Pago","Ref. a NF nº 202193","Importação PDF"
"102","INTELBRAS S/A - IND DE TEL ELET BRA","202202/02",NULL,"2025-11-04",NULL,NULL,"1941.51","Pago","Ref. a NF nº 202202","Importação PDF"
"103","INTELBRAS S/A - IND DE TEL ELET BRA","202199/02",NULL,"2025-11-04",NULL,NULL,"3355.27","Pago","Ref. a NF nº 202199","Importação PDF"
"104","INTELBRAS S/A - IND DE TEL ELET BRA","186031/03",NULL,"2025-11-14",NULL,NULL,"11292.60","Pago","Ref. a NF nº 186031","Importação PDF"
"105","INTELBRAS S/A - IND DE TEL ELET BRA","240522/01",NULL,"2025-11-14",NULL,NULL,"35886.04","Pago","Ref. a NF nº 240522","Importação PDF"
"106","INTELBRAS S/A - IND DE TEL ELET BRA","186035/03",NULL,"2025-11-14",NULL,NULL,"2386.18","Pago","Ref. a NF nº 186035","Importação PDF"
"107","INTELBRAS S/A - IND DE TEL ELET BRA","186032/03",NULL,"2025-11-14",NULL,NULL,"1830.42","Pago","Ref. a NF nº 186032","Importação PDF"
"108","INTELBRAS S/A - IND DE TEL ELET BRA","240517/01",NULL,"2025-11-14",NULL,NULL,"589.37","Pago","Ref. a NF nº 240517","Importação PDF"
"109","INTELBRAS S/A - IND DE TEL ELET BRA","192417/03",NULL,"2025-11-21",NULL,NULL,"2191.46","Pago","Ref. a NF nº 192417","Importação PDF"
"110","INTELBRAS S/A - IND DE TEL ELET BRA","191684/03",NULL,"2025-11-21",NULL,NULL,"3652.44","Pago","Ref. a NF nº 191684","Importação PDF"
"111","INTELBRAS S/A - IND DE TEL ELET BRA","192423/03",NULL,"2025-11-21",NULL,NULL,"243.50","Pago","Ref. a NF nº 192423","Importação PDF"
"112","INTELBRAS S/A - IND DE TEL ELET BRA","197148/03",NULL,"2025-11-26",NULL,NULL,"12673.88","Pago","Ref. a NF nº 197148","Importação PDF"
"113","INTELBRAS S/A - IND DE TEL ELET BRA","197139/03",NULL,"2025-11-26",NULL,NULL,"22057.14","Pago","Ref. a NF nº 197139","Importação PDF"
"114","INTELBRAS S/A - IND DE TEL ELET BRA","253030/01",NULL,"2025-11-27",NULL,NULL,"11027.67","Pago","Ref. a NF nº 253030","Importação PDF"
"115","INTELBRAS S/A - IND DE TEL ELET BRA","253003/01",NULL,"2025-11-27",NULL,NULL,"1825.89","Pago","Ref. a NF nº 253003","Importação PDF"
"116","INTELBRAS S/A - IND DE TEL ELET BRA","253014/01",NULL,"2025-11-27",NULL,NULL,"3219.44","Pago","Ref. a NF nº 253014","Importação PDF"
"117","INTELBRAS S/A - IND DE TEL ELET BRA","202199/03",NULL,"2025-12-02",NULL,NULL,"3356.28","Pago","Ref. a NF nº 202199","Importação PDF"
"118","INTELBRAS S/A - IND DE TEL ELET BRA","202188/03",NULL,"2025-12-02",NULL,NULL,"2742.25","Pago","Ref. a NF nº 202188","Importação PDF"
"119","INTELBRAS S/A - IND DE TEL ELET BRA","202205/03",NULL,"2025-12-02",NULL,NULL,"9686.01","Pago","Ref. a NF nº 202205","Importação PDF"
"120","INTELBRAS S/A - IND DE TEL ELET BRA","202193/03",NULL,"2025-12-02",NULL,NULL,"5849.97","Pago","Ref. a NF nº 202193","Importação PDF"
"121","INTELBRAS S/A - IND DE TEL ELET BRA","202202/03",NULL,"2025-12-02",NULL,NULL,"1942.10","Pago","Ref. a NF nº 202202","Importação PDF"
"122","INTELBRAS S/A - IND DE TEL ELET BRA","256356/01",NULL,"2025-12-03",NULL,NULL,"8345.27","Pago","Ref. a NF nº 256356","Importação PDF"
"123","INTELBRAS S/A - IND DE TEL ELET BRA","256295/01",NULL,"2025-12-03",NULL,NULL,"55.34","Pago","Ref. a NF nº 256295","Importação PDF"
"124","INTELBRAS S/A - IND DE TEL ELET BRA","256301/01",NULL,"2025-12-03",NULL,NULL,"3458.66","Pago","Ref. a NF nº 256301","Importação PDF"
"125","INTELBRAS S/A - IND DE TEL ELET BRA","262940/01",NULL,"2025-12-10",NULL,NULL,"1580.55","Atrasada","Ref. a NF nº 262940","Importação PDF"
"126","INTELBRAS S/A - IND DE TEL ELET BRA","264492/01",NULL,"2025-12-11",NULL,NULL,"1580.55","Atrasada","Ref. a NF nº 264492","Importação PDF"
"127","INTELBRAS S/A - IND DE TEL ELET BRA","240522/02",NULL,"2025-12-12",NULL,NULL,"35884.96","Atrasada","Ref. a NF nº 240522","Importação PDF"
"128","INTELBRAS S/A - IND DE TEL ELET BRA","240517/02",NULL,"2025-12-12",NULL,NULL,"589.35","Atrasada","Ref. a NF nº 240517","Importação PDF"
"129","INTELBRAS S/A - IND DE TEL ELET BRA","274074/01",NULL,"2025-12-23",NULL,NULL,"6917.33","Em aberto","Ref. a NF nº 274074","Importação PDF"
"130","INTELBRAS S/A - IND DE TEL ELET BRA","253030/02",NULL,"2025-12-26",NULL,NULL,"11027.34","Em aberto","Ref. a NF nº 253030","Importação PDF"
"131","INTELBRAS S/A - IND DE TEL ELET BRA","253003/02",NULL,"2025-12-26",NULL,NULL,"1825.84","Em aberto","Ref. a NF nº 253003","Importação PDF"
"132","INTELBRAS S/A - IND DE TEL ELET BRA","253014/02",NULL,"2025-12-26",NULL,NULL,"3219.35","Em aberto","Ref. a NF nº 253014","Importação PDF"
"133","INTELBRAS S/A - IND DE TEL ELET BRA","278908/01",NULL,"2025-12-29",NULL,NULL,"1580.55","Em aberto","Ref. a NF nº 278908","Importação PDF"
"134","INTELBRAS S/A - IND DE TEL ELET BRA","280121/01",NULL,"2025-12-29",NULL,NULL,"5425.22","Em aberto","Ref. a NF nº 280121","Importação PDF"
"135","INTELBRAS S/A - IND DE TEL ELET BRA","256356/02",NULL,"2026-01-02",NULL,NULL,"8345.02","Em aberto","Ref. a NF nº 256356","Importação PDF"
"136","INTELBRAS S/A - IND DE TEL ELET BRA","281573/01",NULL,"2026-01-02",NULL,NULL,"13834.65","Em aberto","Ref. a NF nº 281573","Importação PDF"
